Vehicle,Customer,Order,Weight
vehicle1,customer7,order1,0.005
vehicle1,customer7,order2,0.005
vehicle1,customer7,order3,0.008
vehicle1,customer7,order4,0.005
vehicle1,customer7,order5,0.005
vehicle1,customer7,order6,0.005
vehicle1,customer7,order7,0.005
vehicle1,customer7,order8,0.005
vehicle1,customer7,order9,0.005
vehicle1,customer7,order10,0.005
vehicle1,customer7,order11,0.005
vehicle1,customer7,order12,0.005
vehicle0,customer4,order13,0.002
vehicle0,customer4,order14,0.002
vehicle0,customer4,order15,0.023
vehicle0,customer4,order16,0.003
vehicle0,customer4,order17,0.005
vehicle0,customer4,order18,0.004
vehicle0,customer5,order19,0.002
vehicle0,customer5,order20,0.003
vehicle0,customer5,order21,0.003
vehicle0,customer5,order22,0.008
vehicle0,customer5,order23,0.003
vehicle0,customer5,order24,0.005
vehicle0,customer5,order25,0.008
vehicle0,customer5,order26,0.003
vehicle0,customer5,order27,0.005
vehicle0,customer5,order28,0.028
vehicle0,customer5,order29,0.005
vehicle0,customer5,order30,0.003
vehicle3,customer2,order31,0.009000000000000001
vehicle3,customer2,order32,0.005
vehicle3,customer2,order33,0.009000000000000001
vehicle3,customer2,order34,0.009000000000000001
vehicle3,customer2,order35,0.005
vehicle3,customer2,order36,0.005
vehicle3,customer2,order37,0.003
vehicle3,customer2,order38,0.005
vehicle0,customer3,order39,0.007
vehicle0,customer3,order40,0.003
vehicle0,customer3,order41,0.005
vehicle0,customer3,order42,0.025
vehicle0,customer3,order43,0.02
vehicle0,customer3,order44,0.015
vehicle0,customer3,order45,0.005
vehicle0,customer3,order46,0.015
vehicle0,customer3,order47,0.05
vehicle0,customer3,order48,0.001
vehicle0,customer3,order49,0.009000000000000001
vehicle0,customer3,order50,0.005
vehicle0,customer3,order51,0.035
vehicle0,customer3,order52,0.01
vehicle0,customer3,order53,0.01
vehicle0,customer3,order54,0.015
vehicle1,customer1,order55,0.01
vehicle1,customer1,order56,0.01
vehicle1,customer1,order57,0.02
vehicle1,customer1,order58,0.02
vehicle1,customer1,order59,0.03
vehicle1,customer1,order60,0.01
vehicle1,customer1,order61,0.005
vehicle1,customer1,order62,0.025
vehicle1,customer1,order63,0.02
vehicle2,customer6,order64,0.005
vehicle2,customer6,order65,0.02
vehicle2,customer6,order66,0.005
vehicle2,customer6,order67,0.005
vehicle2,customer6,order68,0.02
vehicle2,customer6,order69,0.003
vehicle2,customer6,order70,0.04
vehicle2,customer6,order71,0.03
vehicle2,customer6,order72,0.02
vehicle2,customer6,order73,0.025
vehicle2,customer6,order74,0.02
vehicle2,customer6,order75,0.06
vehicle2,customer6,order76,0.005
