Truck ID,Route
Truck T3_1,A123 -> 10364446 -> 10208593 -> 10219625 -> 10208746 -> 10208681 -> 12715142 -> 12715142 -> 12585577 -> 12345850 -> 11956776 -> 11957296 -> 10208730 -> 12854098 -> 10208776 -> A123
Truck T3_2,A123 -> 12742843 -> 12854117 -> 12854117 -> 12420540 -> 10208641 -> 12854149 -> 10208614 -> 11956776 -> 12854137 -> 12854121 -> 12474916 -> 12219936 -> 12475665 -> A123
Truck T3_3,A123 -> 12577977 -> 12854137 -> 10208702 -> 12854164 -> 10208607 -> 12475516 -> 10208698 -> 12995436 -> 12854121 -> 12854159 -> 10208589 -> 12475360 -> 10208760 -> 10364446 -> 12044475 -> 12854148 -> 10208605 -> 10208681 -> 12489344 -> 12854113 -> A123
Truck T3_4,A123 -> 13005196 -> 11950159 -> 10208698 -> 12854126 -> 12231175 -> 10208582 -> 11956776 -> 10279711 -> 10212334 -> 12585577 -> A123
Truck T3_5,A123 -> 12854184 -> 12742843 -> 10208117 -> 12854139 -> 10208659 -> 12725145 -> 12854149 -> 12854197 -> 10208762 -> 10212202 -> 13013290 -> 11539696 -> 10364446 -> 12854130 -> A123
Truck T3_6,A123 -> 12854133 -> 12854147 -> 11346601 -> 12740556 -> 10208675 -> 10218045 -> 12026582 -> 10210421 -> 10208768 -> 12750741 -> 12854127 -> 10364922 -> A123
Truck T7_1,A123 -> 10366979 -> 10208776 -> 12721000 -> 10208661 -> 12838671 -> 10310757 -> 10208605 -> 10218045 -> 12854108 -> 10208730 -> 12750741 -> 10208675 -> A123
Truck T7_2,A123 -> 11539696 -> 13067405 -> 13067657 -> 12474916 -> 10218045 -> 10218045 -> A123
Truck T10_1,A123 -> 12740556 -> 10208639 -> 12854133 -> 12854195 -> 12750741 -> 11957296 -> 10208698 -> 12854140 -> 10214844 -> A123
Truck T10_2,A123 -> 12044475 -> 10212258 -> 12656560 -> 12475623 -> 12750741 -> 10208686 -> 11956776 -> 11956776 -> 12854147 -> 10208701 -> 12420540 -> A123
Truck T10_3,A123 -> 10364896 -> 12854138 -> 10364446 -> 10214844 -> 12715142 -> 10208499 -> 10208499 -> 12854172 -> 10208696 -> 10208707 -> 12854198 -> 11956776 -> 12750741 -> 10208659 -> 10208659 -> 10208719 -> A123
Truck T10_4,A123 -> 10393503 -> 12854173 -> 10310590 -> A123
Truck T10_5,A123 -> 12708761 -> 12171444 -> 10208712 -> 12724371 -> 12546176 -> 13005196 -> 10364446 -> 12854192 -> A123
Truck T10_6,A123 -> 12738762 -> 10210421 -> 12860572 -> 10208120 -> 10364922 -> 12854153 -> 10366955 -> 12854171 -> 12502170 -> 13015040 -> 10208602 -> 10208602 -> 10208596 -> 10208595 -> 12854154 -> A123
Truck T10_7,A123 -> 12475523 -> 10208764 -> 10208575 -> 12769191 -> 10364896 -> 12779571 -> A123
Truck T40_1,A123 -> 10208694 -> 10208746 -> 13005196 -> 12475628 -> 10208670 -> 10364446 -> 10210421 -> 12860572 -> 11957296 -> 10208595 -> 10208119 -> 10219625 -> 10208651 -> 12854172 -> 12194109 -> A123
Truck T40_2,A123 -> 10218045 -> 10208747 -> 12860572 -> 10208768 -> 12983715 -> 10279711 -> 10279711 -> 10279711 -> 12854166 -> 10208717 -> 12021664 -> 12750741 -> 11646201 -> A123
Truck T40_3,A123 -> 10364446 -> 12854198 -> 10208629 -> 12171479 -> 10208731 -> 13045617 -> 10208651 -> 11539696 -> 10208701 -> 12750741 -> 12750741 -> 13005196 -> A123
Truck T40_4,A123 -> 12194109 -> 10279711 -> 10212373 -> 12475666 -> 12628669 -> 12854192 -> 12690815 -> 12750741 -> 10208694 -> A123
